Date,Open,High,Low,Close,Adj Close,Volume
2021-08-24,149.449997,150.860001,149.149994,149.619995,149.401947,48606400
2021-08-25,149.809998,150.320007,147.800003,148.360001,148.143784,58991300
2021-08-26,148.350006,149.119995,147.509995,147.539993,147.324982,48597200
2021-08-27,147.479996,148.750000,146.830002,148.600006,148.383453,55721500
2021-08-30,149.000000,153.490005,148.610001,153.119995,152.896851,90956700
2021-08-31,152.660004,152.800003,151.289993,151.830002,151.608734,86453100
2021-09-01,152.830002,154.979996,152.339996,152.509995,152.287735,80313700
2021-09-02,153.869995,154.720001,152.399994,153.649994,153.426071,71115500
2021-09-03,153.759995,154.630005,153.089996,154.300003,154.075134,57808700
2021-09-07,154.970001,157.259995,154.389999,156.690002,156.461655,82278300
2021-09-08,156.979996,157.039993,153.979996,155.110001,154.883957,74420200
2021-09-09,155.490005,156.110001,153.949997,154.070007,153.845474,57305700
2021-09-10,155.000000,155.479996,148.699997,148.970001,148.752899,140646400
2021-09-13,150.630005,151.419998,148.750000,149.550003,149.332062,102404300
2021-09-14,150.350006,151.070007,146.910004,148.119995,147.904129,109296300
2021-09-15,148.559998,149.440002,146.369995,149.029999,148.812805,83281300
2021-09-16,148.440002,148.970001,147.220001,148.789993,148.573151,68034100
2021-09-17,148.820007,148.820007,145.759995,146.059998,145.847137,129868800
2021-09-20,143.800003,144.839996,141.270004,142.940002,142.731689,123478900
2021-09-21,143.929993,144.600006,142.779999,143.429993,143.220963,75834000
2021-09-22,144.449997,146.429993,143.699997,145.850006,145.637451,76404300
2021-09-23,146.649994,147.080002,145.639999,146.830002,146.616028,64838200
2021-09-24,145.660004,147.470001,145.559998,146.919998,146.705887,53477900
2021-09-27,145.470001,145.960007,143.820007,145.369995,145.158142,74150700
2021-09-28,143.250000,144.750000,141.690002,141.910004,141.703186,108972300
2021-09-29,142.470001,144.449997,142.029999,142.830002,142.621857,74602000
2021-09-30,143.660004,144.380005,141.279999,141.500000,141.293793,88934200
2021-10-01,141.899994,142.919998,139.110001,142.649994,142.442108,94639600
2021-10-04,141.759995,142.210007,138.270004,139.139999,138.937225,98322000
2021-10-05,139.490005,142.240005,139.360001,141.110001,140.904358,80861100
2021-10-06,139.470001,142.149994,138.369995,142.000000,141.793060,83221100
2021-10-07,143.059998,144.220001,142.720001,143.289993,143.081177,61732700
2021-10-08,144.029999,144.179993,142.559998,142.899994,142.691742,58718700
2021-10-11,142.270004,144.809998,141.809998,142.809998,142.601883,64452200
2021-10-12,143.229996,143.250000,141.039993,141.509995,141.303772,73035900
2021-10-13,141.240005,141.399994,139.199997,140.910004,140.704651,78762700
2021-10-14,142.110001,143.880005,141.509995,143.759995,143.550491,69907100
2021-10-15,143.770004,144.899994,143.509995,144.839996,144.628922,67885200
2021-10-18,143.449997,146.839996,143.160004,146.550003,146.336426,85589200
2021-10-19,147.009995,149.169998,146.550003,148.759995,148.543198,76378900
2021-10-20,148.699997,149.750000,148.119995,149.259995,149.042480,58418800
2021-10-21,148.809998,149.639999,147.869995,149.479996,149.262146,61421000
2021-10-22,149.690002,150.179993,148.639999,148.690002,148.473312,58883400
2021-10-25,148.679993,149.369995,147.619995,148.639999,148.423386,50720600
2021-10-26,149.330002,150.839996,149.009995,149.320007,149.102402,60893400
2021-10-27,149.360001,149.729996,148.490005,148.850006,148.633087,56094900
2021-10-28,149.820007,153.169998,149.720001,152.570007,152.347656,100077900
2021-10-29,147.220001,149.940002,146.410004,149.800003,149.581696,124850400
2021-11-01,148.990005,149.699997,147.800003,148.960007,148.742920,74588300
2021-11-02,148.660004,151.570007,148.649994,150.020004,149.801376,69122000
2021-11-03,150.389999,151.970001,149.820007,151.490005,151.269241,54511500
2021-11-04,151.580002,152.429993,150.639999,150.960007,150.740005,60394600
2021-11-05,151.889999,152.199997,150.059998,151.279999,151.279999,65414600
2021-11-08,151.410004,151.570007,150.160004,150.440002,150.440002,55020900
2021-11-09,150.199997,151.429993,150.059998,150.809998,150.809998,56787900
2021-11-10,150.020004,150.130005,147.850006,147.919998,147.919998,65187100
2021-11-11,148.960007,149.429993,147.679993,147.869995,147.869995,41000000
2021-11-12,148.429993,150.399994,147.479996,149.990005,149.990005,63632600
2021-11-15,150.369995,151.880005,149.429993,150.000000,150.000000,59222800
2021-11-16,149.940002,151.490005,149.339996,151.000000,151.000000,59256200
2021-11-17,151.000000,155.000000,150.990005,153.490005,153.490005,88807000
2021-11-18,153.710007,158.669998,153.050003,157.869995,157.869995,137827700
2021-11-19,157.649994,161.020004,156.529999,160.550003,160.550003,117305600
2021-11-22,161.679993,165.699997,161.000000,161.020004,161.020004,117467900
2021-11-23,161.119995,161.800003,159.059998,161.410004,161.410004,96041900
2021-11-24,160.750000,162.139999,159.639999,161.940002,161.940002,69463600
2021-11-26,159.570007,160.449997,156.360001,156.809998,156.809998,76959800
2021-11-29,159.369995,161.190002,158.789993,160.240005,160.240005,88748200
2021-11-30,159.990005,165.520004,159.919998,165.300003,165.300003,174048100
2021-12-01,167.479996,170.300003,164.529999,164.770004,164.770004,152052500
2021-12-02,158.740005,164.199997,157.800003,163.759995,163.759995,136739200
2021-12-03,164.020004,164.960007,159.720001,161.839996,161.839996,117938300
2021-12-06,164.289993,167.880005,164.279999,165.320007,165.320007,107497000
2021-12-07,169.080002,171.580002,168.339996,171.179993,171.179993,120405400
2021-12-08,172.130005,175.960007,170.699997,175.080002,175.080002,116998900
2021-12-09,174.910004,176.750000,173.919998,174.559998,174.559998,108923700
2021-12-10,175.210007,179.630005,174.690002,179.449997,179.449997,115228100
2021-12-13,181.119995,182.130005,175.529999,175.740005,175.740005,153237000
2021-12-14,175.250000,177.740005,172.210007,174.330002,174.330002,139380400
2021-12-15,175.110001,179.500000,172.309998,179.300003,179.300003,131063300
2021-12-16,179.279999,181.139999,170.750000,172.259995,172.259995,150185800
2021-12-17,169.929993,173.470001,169.690002,171.139999,171.139999,195432700
2021-12-20,168.279999,170.580002,167.460007,169.750000,169.750000,107499100
2021-12-21,171.559998,173.199997,169.119995,172.990005,172.990005,91185900
2021-12-22,173.039993,175.860001,172.149994,175.639999,175.639999,92135300
2021-12-23,175.850006,176.850006,175.270004,176.279999,176.279999,68356600
2021-12-27,177.089996,180.419998,177.070007,180.330002,180.330002,74919600
2021-12-28,180.160004,181.330002,178.529999,179.289993,179.289993,79144300
2021-12-29,179.330002,180.630005,178.139999,179.380005,179.380005,62348900
2021-12-30,179.470001,180.570007,178.089996,178.199997,178.199997,59773000
2021-12-31,178.089996,179.229996,177.259995,177.570007,177.570007,64062300
2022-01-03,177.830002,182.880005,177.710007,182.009995,182.009995,104487900
2022-01-04,182.630005,182.940002,179.119995,179.699997,179.699997,99310400
2022-01-05,179.610001,180.169998,174.639999,174.919998,174.919998,94537600
2022-01-06,172.699997,175.300003,171.639999,172.000000,172.000000,96904000
2022-01-07,172.889999,174.139999,171.029999,172.169998,172.169998,86580100
2022-01-10,169.080002,172.500000,168.169998,172.190002,172.190002,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,175.080002,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,175.529999,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,172.190002,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,173.070007,80355000
2022-01-18,171.509995,172.539993,169.410004,169.800003,169.800003,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,166.229996,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,164.509995,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,162.410004,122501300
2022-01-24,160.020004,162.300003,154.699997,161.619995,161.619995,162706700
2022-01-25,158.979996,162.759995,157.020004,159.779999,159.779999,114972000
